   897.000 1 1 1 1 1      0.956      0.000      0.044      0.000    1
   216.000 0 1 1 1 1      0.897      0.000      0.103      0.000    1
   158.000 1 1 0 1 1      0.613      0.000      0.117      0.270    1
    84.000 1 0 1 1 1      0.752      0.000      0.248      0.000    1
    60.000 1 1 1 0 1      0.648      0.000      0.352      0.000    1
    31.000 0 0 1 1 1      0.552      0.000      0.448      0.000    1
    11.000 1 1 * 1 1      0.904      0.000      0.055      0.040    1
    10.000 1 1 1 * 1      0.935      0.000      0.065      0.000    1
     6.000 1 * 1 1 1      0.938      0.000      0.062      0.000    1
     5.000 0 1 1 * 1      0.854      0.000      0.146      0.000    1
     4.000 0 * 1 1 1      0.860      0.000      0.140      0.000    1
     4.000 * 1 1 1 1      0.944      0.000      0.056      0.000    1
     4.000 0 1 * 1 1      0.771      0.000      0.116      0.113    1
     3.000 0 1 1 1 *      0.753      0.000      0.246      0.000    1
     3.000 0 1 1 * *      0.669      0.002      0.329      0.000    1
     2.000 1 1 * * *      0.752      0.006      0.197      0.045    1
     2.000 1 0 * 1 1      0.450      0.000      0.195      0.355    1
     2.000 1 1 * 0 1      0.478      0.000      0.341      0.182    1
     2.000 1 1 1 * *      0.834      0.000      0.166      0.000    1
     2.000 1 1 0 * 1      0.532      0.000      0.152      0.316    1
     2.000 1 * * * *      0.622      0.063      0.233      0.082    1
     1.000 1 * 1 * 1      0.909      0.000      0.091      0.000    1
     1.000 1 * * * 1      0.792      0.000      0.104      0.104    1
     1.000 1 * 0 1 1      0.449      0.000      0.122      0.429    1
     1.000 1 1 0 1 *      0.500      0.007      0.273      0.220    1
     1.000 1 1 1 1 *      0.883      0.000      0.117      0.000    1
     1.000 0 1 * * 1      0.702      0.000      0.159      0.139    1
     1.000 0 * * * *      0.303      0.286      0.280      0.130    1
     1.000 1 * 1 * *      0.775      0.004      0.221      0.000    1
     1.000 1 0 1 * 1      0.669      0.000      0.331      0.000    1
     1.000 1 1 0 * *      0.402      0.029      0.330      0.239    1
     1.000 0 1 * * *      0.522      0.037      0.337      0.103    1
   184.000 0 0 0 0 0      0.000      0.966      0.034      0.000    2
    87.000 1 0 0 0 0      0.000      0.883      0.117      0.000    2
    49.000 0 0 0 1 0      0.000      0.775      0.225      0.000    2
    25.000 0 1 0 0 0      0.000      0.538      0.462      0.000    2
     4.000 0 * 0 0 0      0.000      0.915      0.085      0.000    2
     2.000 0 0 0 * 0      0.000      0.926      0.074      0.000    2
     2.000 1 * 0 0 0      0.000      0.739      0.261      0.000    2
     2.000 1 0 0 0 *      0.003      0.664      0.135      0.198    2
     1.000 * 0 0 0 0      0.000      0.939      0.061      0.000    2
     1.000 0 * 0 1 0      0.000      0.565      0.435      0.000    2
     1.000 1 0 * 0 0      0.000      0.714      0.286      0.000    2
     1.000 0 * * 0 0      0.000      0.780      0.220      0.000    2
     1.000 0 0 0 0 *      0.000      0.863      0.047      0.090    2
     1.000 0 0 * * 0      0.000      0.807      0.193      0.000    2
     1.000 1 0 0 * 0      0.000      0.769      0.231      0.000    2
     1.000 0 0 0 * *      0.006      0.702      0.086      0.206    2
     1.000 0 0 * 0 0      0.000      0.904      0.096      0.000    2
     1.000 1 0 0 * *      0.033      0.421      0.194      0.351    2
    67.000 1 1 1 1 0      0.000      0.001      0.999      0.000    3
    48.000 0 1 1 1 0      0.000      0.003      0.997      0.000    3
    45.000 1 0 1 1 0      0.000      0.018      0.982      0.000    3
    41.000 1 1 1 0 0      0.000      0.006      0.994      0.000    3
    36.000 1 0 0 1 0      0.000      0.477      0.523      0.000    3
    34.000 1 1 0 1 0      0.000      0.036      0.964      0.000    3
    30.000 1 0 1 0 0      0.000      0.133      0.867      0.000    3
    30.000 0 1 1 0 1      0.428      0.000      0.572      0.000    3
    26.000 1 1 0 0 0      0.000      0.235      0.765      0.000    3
    24.000 0 1 1 0 0      0.000      0.023      0.977      0.000    3
    22.000 0 1 0 1 0      0.000      0.123      0.877      0.000    3
    21.000 0 0 1 0 0      0.000      0.368      0.632      0.000    3
    20.000 0 0 1 1 0      0.000      0.066      0.934      0.000    3
    13.000 1 0 1 0 1      0.206      0.000      0.794      0.000    3
     5.000 0 0 1 0 1      0.095      0.000      0.905      0.000    3
     3.000 1 1 1 * 0      0.000      0.003      0.997      0.000    3
     2.000 1 1 * * 0      0.000      0.043      0.957      0.000    3
     1.000 0 1 0 * 0      0.000      0.339      0.661      0.000    3
     1.000 1 0 * 1 0      0.000      0.232      0.768      0.000    3
     1.000 1 * 1 0 *      0.303      0.025      0.672      0.000    3
     1.000 1 * 1 0 0      0.000      0.055      0.945      0.000    3
     1.000 1 * 0 1 0      0.000      0.255      0.745      0.000    3
     1.000 1 1 0 0 *      0.081      0.103      0.515      0.302    3
     1.000 * 0 1 0 1      0.168      0.000      0.832      0.000    3
     1.000 0 1 1 0 *      0.205      0.012      0.783      0.000    3
     1.000 0 1 * 1 0      0.000      0.045      0.955      0.000    3
     1.000 0 0 1 * 0      0.000      0.205      0.795      0.000    3
     1.000 * 1 1 1 0      0.000      0.002      0.998      0.000    3
     1.000 0 0 1 1 *      0.291      0.031      0.678      0.000    3
     1.000 1 1 0 * 0      0.000      0.119      0.881      0.000    3
     1.000 0 0 1 * 1      0.450      0.000      0.550      0.000    3
     1.000 1 * 1 1 0      0.000      0.007      0.993      0.000    3
     1.000 0 * 1 1 0      0.000      0.026      0.974      0.000    3
     1.000 1 1 * 1 0      0.000      0.012      0.988      0.000    3
    72.000 1 0 0 1 1      0.099      0.000      0.134      0.768    4
    66.000 0 1 0 1 1      0.343      0.000      0.161      0.495    4
    54.000 0 0 0 1 1      0.033      0.000      0.112      0.855    4
    36.000 1 1 0 0 1      0.143      0.000      0.320      0.537    4
    26.000 1 0 0 0 1      0.012      0.000      0.191      0.797    4
    22.000 0 0 0 0 1      0.004      0.000      0.152      0.844    4
    20.000 0 1 0 0 1      0.053      0.000      0.292      0.654    4
     3.000 1 * 0 0 1      0.081      0.000      0.259      0.660    4
     2.000 1 0 0 * 1      0.074      0.000      0.150      0.776    4
     2.000 0 0 0 * 1      0.025      0.000      0.124      0.852    4
     2.000 0 0 * 1 1      0.215      0.000      0.229      0.556    4
     1.000 0 0 * * 1      0.164      0.000      0.263      0.574    4
     1.000 0 0 * 0 1      0.028      0.000      0.351      0.620    4
